brand,model,manufacture_date,list_time,mileage_v2,gearbox,price
Toyota,vios,2022,2023-09-28 00:17:23.180,20000,MT,415000000.0
Toyota,vios,2022,2023-10-02 06:27:20.151,15000,MT,415000000.0
Toyota,vios,2022,2023-10-02 09:18:44.881,15000,MT,415000000.0
Toyota,vios,2022,2023-10-02 09:18:44.881,15000,MT,415000000.0
Toyota,vios,2022,2023-10-03 12:15:25.760,15000,MT,415000000.0
Toyota,vios,2022,2023-10-03 12:15:25.760,15000,MT,415000000.0
Toyota,vios,2022,2023-10-04 11:24:42.803,15000,MT,415000000.0
Toyota,vios,2022,2023-10-04 11:24:42.803,15000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-10-02 06:27:20.151,15000,MT,415000000.0
Toyota,vios,2022,2023-09-30 00:19:24.851,15000,MT,415000000.0
Toyota,vios,2022,2023-09-29 03:19:02.980,15000,MT,415000000.0
Toyota,vios,2022,2023-09-29 03:19:02.980,15000,MT,415000000.0
Toyota,vios,2022,2023-09-28 00:17:23.180,20000,MT,415000000.0
Toyota,vios,2022,2023-09-27 23:27:39.352,15000,MT,415000000.0
Toyota,vios,2022,2023-09-27 23:27:39.352,15000,MT,415000000.0
Toyota,vios,2022,2023-09-26 12:20:12.781,15000,MT,415000000.0
Toyota,vios,2022,2023-09-26 12:20:12.781,15000,MT,415000000.0
Toyota,vios,2022,2023-09-24 04:31:53.305,15000,MT,415000000.0
Toyota,vios,2022,2023-09-24 04:31:53.305,15000,MT,415000000.0
Toyota,vios,2022,2023-09-24 01:56:38.880,20000,MT,415000000.0
Toyota,vios,2022,2023-09-19 03:08:28.431,15000,MT,415000000.0
Toyota,vios,2022,2023-09-19 03:08:28.431,15000,MT,415000000.0
Toyota,vios,2022,2023-09-19 03:08:28.431,15000,MT,415000000.0
Toyota,vios,2022,2023-09-19 03:08:28.431,15000,MT,415000000.0
Toyota,vios,2022,2023-09-30 00:19:24.851,15000,MT,415000000.0
Toyota,vios,2022,2023-10-01 00:34:56.106,20000,MT,415000000.0
Toyota,vios,2022,2023-08-22 13:03:18.000,9000,MT,420000000.0
Toyota,vios,2022,2023-10-17 06:25:13.891,20700,MT,420000000.0
Toyota,vios,2022,2023-10-05 05:45:06.000,20700,MT,420000000.0
Toyota,vios,2022,2023-10-05 05:45:06.000,20700,MT,420000000.0
Toyota,vios,2022,2023-10-05 05:45:06.000,20700,MT,420000000.0
Toyota,vios,2022,2023-10-05 05:45:06.000,20700,MT,420000000.0
Toyota,vios,2022,2023-10-05 05:45:06.000,20700,MT,420000000.0
Toyota,vios,2022,2023-10-05 05:45:06.000,20700,MT,420000000.0
Toyota,vios,2022,2023-10-24 13:05:17.737,20700,MT,420000000.0
Toyota,vios,2022,2023-10-24 13:05:17.737,20700,MT,420000000.0
Toyota,vios,2022,2023-10-17 06:25:13.891,20700,MT,420000000.0
Toyota,vios,2022,2023-10-17 06:25:13.891,20700,MT,420000000.0
Toyota,vios,2022,2023-10-17 06:25:13.891,20700,MT,420000000.0
Toyota,vios,2022,2023-09-24 03:13:55.000,6600,MT,425000000.0
Toyota,vios,2022,2023-09-24 03:13:55.000,6600,MT,425000000.0
Toyota,vios,2022,2023-10-02 06:23:47.153,60000,MT,425000000.0
Toyota,vios,2022,2023-10-18 02:24:03.000,23000,MT,425000000.0
Toyota,vios,2022,2023-10-18 12:06:05.340,17000,MT,425000000.0
Toyota,vios,2022,2023-09-26 03:13:09.526,6600,MT,425000000.0
Toyota,vios,2022,2023-09-26 10:52:54.000,16000,MT,425000000.0
Toyota,vios,2022,2023-09-26 10:52:54.000,16000,MT,425000000.0
Toyota,vios,2022,2023-09-26 10:52:54.000,16000,MT,425000000.0
Toyota,vios,2022,2023-10-18 11:22:36.419,60000,MT,425000000.0
Toyota,vios,2022,2023-09-26 03:13:09.526,6600,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-10-24 07:48:29.314,23000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-09-26 10:52:54.000,16000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-09-19 00:37:04.000,33000,MT,425000000.0
Toyota,vios,2022,2023-10-24 07:48:29.314,23000,MT,425000000.0
Toyota,vios,2022,2023-09-26 10:52:54.000,16000,MT,425000000.0
Toyota,vios,2022,2023-09-26 10:52:54.000,16000,MT,425000000.0
Toyota,vios,2022,2023-09-26 10:52:54.000,16000,MT,425000000.0
